text,propertyType,locality,furnishing,city,RentOrSale,BHK,URLs
Residential House   Sector 8   Unfurnished   Chandigarh   3.0   3.0   Rent,Residential House,Sector 8,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-4000-Sq-ft-Residential-House-FOR-Rent-Sector-8-in-Chandigarh-r3&id=4d423633363031363437
Villa   Sector 36   Unfurnished   Chandigarh   4.0   4.0   Rent,Villa,Sector 36,Unfurnished,Chandigarh,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-4200-Sq-ft-Villa-FOR-Rent-Sector-36-in-Chandigarh-r3&id=4d423633323138373435
Builder Floor Apartment   Sector-15   Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector-15,Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-15-in-Chandigarh-r4&id=4d423632353533393631
Builder Floor Apartment   Sector 21   Semi-Furnished   Chandigarh   4.0   4.0   Rent,Builder Floor Apartment,Sector 21,Semi-Furnished,Chandigarh,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-2400-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-21-in-Chandigarh&id=4d423637333239383631
Residential House   Sector 18   Unfurnished   Chandigarh   3.0   3.0   Rent,Residential House,Sector 18,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-5000-Sq-ft-Residential-House-FOR-Rent-Sector-18-in-Chandigarh-r3&id=4d423633323634393239
Villa   Sector 19   Semi-Furnished   Chandigarh   7.0   7.0   Rent,Villa,Sector 19,Semi-Furnished,Chandigarh,Rent,7.0,https://www.magicbricks.com/propertyDetails/7-BHK-10000-Sq-ft-Villa-FOR-Rent-Sector-19-in-Chandigarh&id=4d423636393833333433
Builder Floor Apartment   Sector 9   Semi-Furnished   Chandigarh   5.0   5.0   Rent,Builder Floor Apartment,Sector 9,Semi-Furnished,Chandigarh,Rent,5.0,https://www.magicbricks.com/propertyDetails/5-BHK-5500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-9-in-Chandigarh&id=4d423637333239373931
Builder Floor Apartment   Sector-34   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector-34,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-4000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-34-in-Chandigarh-r4&id=4d423630363330333433
Residential House   Sector-37   Furnished   Chandigarh   1.0   1.0   Rent,Residential House,Sector-37,Furnished,Chandigarh,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-1200-Sq-ft-Residential-House-FOR-Rent-Sector-37-in-Chandigarh-r15&id=4d423435383035323031
Builder Floor Apartment   Sector 7   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 7,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-7-in-Chandigarh&id=4d423636393833323933
Builder Floor Apartment   Sector 21   Semi-Furnished   Chandigarh   2.0   2.0   Rent,Builder Floor Apartment,Sector 21,Semi-Furnished,Chandigarh,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-21-in-Chandigarh-r6&id=4d423534373938323339
Residential House   Sector-44   Unfurnished   Chandigarh   3.0   2.0   Rent,Residential House,Sector-44,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1740-Sq-ft-Residential-House-FOR-Rent-Sector-44-in-Chandigarh-r2&id=4d423633303730313539
Residential House   Sector 18   Furnished   Chandigarh   3.0   3.0   Rent,Residential House,Sector 18,Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2540-Sq-ft-Residential-House-FOR-Rent-Sector-18-in-Chandigarh&id=4d423636383934363635
Residential House   Sector 46   Furnished   Chandigarh   1.0   1.0   Rent,Residential House,Sector 46,Furnished,Chandigarh,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-1500-Sq-ft-Residential-House-FOR-Rent-Sector-46-in-Chandigarh-r14&id=4d423435353531363333
Residential House   Sector 2   Semi-Furnished   Gandhinagar   3.0   3.0   Rent,Residential House,Sector 2,Semi-Furnished,Gandhinagar,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-175-Sq-yrd-Residential-House-FOR-Rent-Sector-2-in-Gandhinagar&id=4d423637323537323037
Studio Apartment   Sector 19   Furnished   Chandigarh   Missing   1.0   Rent,Studio Apartment,Sector 19,Furnished,Chandigarh,Rent,Missing,https://www.magicbricks.com/propertyDetails/550-Sq-ft-Studio-Apartment-FOR-Rent-Sector-19-in-Chandigarh&id=4d423637343035363239
Builder Floor Apartment   Sector 16   Unfurnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 16,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-16-in-Chandigarh-r3&id=4d423633333035393537
Builder Floor Apartment   Sector 21   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 21,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-21-in-Chandigarh&id=4d423637333930353233
Builder Floor Apartment   Sector 9   Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 9,Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-9-in-Chandigarh&id=4d423636383934383435
Builder Floor Apartment   Sector-38   Semi-Furnished   Chandigarh   2.0   2.0   Rent,Builder Floor Apartment,Sector-38,Semi-Furnished,Chandigarh,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-38-in-Chandigarh-r8&id=4d423430373132383731
